Ordenacao Balanceada 2f
Ascendente
Quant       Comp        Transf      Tempo
100		    15751		1204		0.00142700
1000		227881		18411		0.01728400
10000		2507396		202571		0.07329500
100000		31276926	2724228		1.19917095
471705		171173012	16151010	14.61077499
Descendente
100		    16127		1204	    0.00168600
1000	    235445		18411		0.00515600
10000	    2616609		202571		0.07672200
100000	    32532828	2724228		0.89940202
471705	    176702948	16151010	14.56313229
Aleatorio
100		    4114		462		    0.00465500
1000	    73399		6272		0.00628500
10000	    972694		82192		0.19580799
100000	    11992258	1021212		1.24907506
471705	    63430731	5760167		15.78745270
