Ordenacao Balanceada 2f Substituicao

Quant		Comp		Transf		Tempo
Ascendente
100		20578		1385		0.00181000
1000		263378		20271		0.00493500
10000		2767215		220711		0.08077000
100000		30836818	2703415		0.69668698
471705		158553669	15108719	5.75445890
Descendente
100		19499		1376		0.00108900
1000		241163		18173		0.00334400
10000		2294227		180413		0.03740900
100000		26548730	2303050		0.43774700
471705		138201425	13221107	2.28028202
Aleatório
100		7714		639		0.00231300
1000		108570		8107		0.00609500
10000		1311550		100606		0.09091200
100000		15409863	1205501		1.15657198
471705		79532873	6629202		8.16820812
