Quicksort Externo
Quant		Comp		Transf		Tempo
Ascendente
100		16497		842		0.00045000
1000		234724		13589		0.02590100
10000		2507166		152196		0.44369400
100000		26004980	2066791		4.98578882
471705		136631253	12065209	21.70017242
Descendente
100		16547		842		0.00037700
1000		235157		13589		0.03087900
10000		2508752		152196		0.57720399
100000		26006490	2066791		5.04941893
471705		136635481	12065209	25.62002945
Aleatorio
100		2846		100		0.00038000
1000		71905		4433		0.07273500
10000		668927		88691		1.22180796
100000		4858651		1240459		15.13516426
471705		18710461	5863066		78.57408905
